id,realm,material_type,author_inified,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
174,RU,Book,Yevgeny Yevtushenko,Avtobiografiia,,Russian,,,,,,London,Flegon,1964
175,RU,Book,Andrei Sinyavsky,Fantasticheskie povesti,,Russian,,,,,,Paris,Instytut Literacki,1961
177,RU,Book,Varlam Shalamov,Kolyma Tales,,English,John Glad,,,,,New York,Norton,1980
178,RU,Book,Varlam Shalamov,Graphite,,English,John Glad,,,,,New York,Norton,1981
179,RU,Book,Anna Akhmatova,Requiem,,German,Mary von Holbeck,,,,,Munich,Possev,1964
180,RU,Book,Yevgenia Ginzburg,Journey into the Whirlwind,,English,Paul Stevenson; Max Hayward,,,,,New York,Harcourt Brace & World,1967
181,RU,Book,Lydia Chukovskaya,The Deserted House,,English,Aline B. Werth,,,,,New York,Dutton,1967
182,RU,Book,Valery Tarsis,Palana No. 7,,Russian,,,,,,Frankfurt am Main,Possev,1966
183,RU,Book,Valery Tarsis,Ward 7. An Autobiographical Novel,,English,Katya Brown,,,,,London,Collins & Harvill,1965
186,RU,Book,Valery Tarsis,"The Bluebottle, Red and Black",,English,Thomas Jones; David Alger,,,,,London,Collins & Harvill,1962
187,RU,Book,Pyotr Savitsky,Stikhi,,Russian,,Foreword by: Nikolai Otsup,,,,Munich,Baschkirzew,1960
189,RU,Book,Irina Ratushinskaya,Poems,,Russian,,Introduction by: Joseph Brodsky,,,,Ann Arbor,Hermitage,1984
190,RU,Book,Nikolay Gumilev,Neizdannyi Gumilev,,Russian,,"Introduction by: Gleb Struve
Commentary by: Gleb Struve",Gleb Struve,,,New York,Chekhov Publishing House,1952
193,RU,Book,Andrei Sakharov,"Razmyshleniia o progresse, mirnom sosushchestvovanii i intellektualnoi svobode",,Russian,,,,,,Frankfurt am Main,Posev,1968
194,RU,Book,Viktor Krivulin,Stikhi,,Russian,,Foreword by: Vasily Betaki,,,,Paris,Ritm,1981
195,RU,Book,Venedikt Yerofeyev,Glazami ekstsentika,,Russian,,Foreword by: Petr Vail; Alexander Genis,,Illustrations by: Vagrich Bakhchanian,,New York,Serebrianyi vek,1982
196,RU,Book,Osip Mandelstam,Sobranie sochinenii (Collected Works),,Russian,,Introduction by: Gleb Struve; Boris Filippov,Gleb Struve; Boris Filippov,,,New York,Chekhov Publishing House,1955
201,RU,Book,Lydia Chukovskaya,The Deserted House,,English,Aline B. Werth,Introduction by: Alexis Klimoff,,,,"Belmont, MA",Nordland,1978
203,RU,Book,Andrei Sinyavsky,Fantastic Stories,,English,Max Hayward; Manya Harari; Ronald Hingley,,,,,New York,Pantheon Books,1963
206,RU,Book,Yuli Daniel,This Is Moscow Speaking & Other Stories,,English,Stuart Hood; Harold Shukman; John Richardson,Foreword by: Max Hayward,,,,New York,Dutton,1969
207,RU,Book,Andrei Platonov,Chevengur,,English,Anthony Olcott,,,,,Ann Arbor,Ardis,1978
209,RU,Book,Andrei Platonov,Collected Works,,English,Thomas Whitney; Carl Proffer; et al.,Introduction: by Joseph Brodsky,,,,Ann Arbor,Ardis,1978
210,RU,Book,Mikhail Bulgakov,The Master and Margarita,,English,Mirra Ginsburg,,,,,New York,Grove,1967
211,RU,Book,Mikhail Bulgakov,The Master and Margarita,,English,Michael Glenny,,,,,New York,Harper & Row,1967
212,RU,Book,Mikhail Bulgakov,Black Snow: A Theatrical Novel,,English,Michael Glenny,,,,,New York,Simon and Schuster,1967
216,RU,Book,Mikhail Bulgakov,Heart of a Dog,,English,Mirra Ginsburg,,,,,New York,Grove,1968
217,RU,Book,Mikhail Bulgakov,The Heart of a Dog,,English,Michael Glenny,,,,,New York,Harcourt,1968
218,RU,Book,Venedikt Yerofeyev,Moscow to the End of the Line,,English,H.W. Tjalsma,Introduction by: Vera S. Dunham,,,,New York,Taplinger,1980
219,RU,Book,,On Trial: The Soviet State Versus Abram Tertz and Nikolai Arzhak.,,English,Max Hayward,Introduction by: Max Hayward,Max Hayward,,,New York,Harper & Row,1966
220,RU,Book,Bella Akhmadulina,Fever and Other New Poems,,English,Geoffrey Dutton; Igor Mezhakoff-Koriakin,Introduction by: Yevgeny Yevtushenko,,,,London,Peter Owen,1969
221,RU,Book,Andrei Platonov,The Foundation Pit,,English,Mirra Ginsburg,,,,,New York,Dutton,1975
222,RU,Book,Andrei Platonov,The Foundation Pit. A Bilingual Edition.,,Russian; English,Thomas Whitney,Introduction by: Joseph Brodsky,,,,Ann Arbor,Ardis,1973
223,RU,Book,Andrei Platonov,Die Baugrube,,German,Aggy Jais,,,,,Frankfurt am Main,Suhrkamp,1971
224,RU,Book,Nikolay Zabolotsky,Stikhotvoreniia,,Russian,,Introduction by: Alexis Rannit; Boris Filippov; Emmanuil Rais,Gleb Struve; Boris Filippov,,,Washington D.C.,Inter-Language Literary Associates,1965
225,RU,Book,Igor Burikhin,Moi dom slovo,,Russian,,,M. Muravnik,,,Paris,Tret'ia volna,1978
232,RU,Book,Sergei Dovlatov,The Invisible Book,,English,Katherine O'Connor; Diana L. Burgin,,,,,Ann Arbor,Ardis,1979
236,RU,Book,Andrei Sinyavsky,On Socialist Realism,,English,George Dennis,Introduction by: Czeslaw Milosz,,,,New York,Pantheon Books,1961
239,RU,Book,Mikhail Bulgakov,Master i Margarita. Neizdannye otryvki,,Russian,,,,,,Bern - Turin,Scherz Verlag - Giulio Eidaudi,1967
240,RU,Book,Andrei Sinyavsky,"Fantasticheskie povesti,",,Russian,,Introduction by: Boris Filippov,,,,Washington D.C.,Inter-Language Literary Associates,1967
241,RU,Book,Joseph Brodsky,Selected Poems,,English,George Kline,Foreword by: W.H. Auden,,,,New York,Harper & Row,1973
242,RU,Book,Andrei Sinyavsky,The Trial Begins,,English,Max Hayward,,,,,New York,Pantheon Books,1960
243,RU,Book,Andrei Platonov,The Fierce and Beautiful World. Stories by Andrei Platonov,,English,Joseph Barnes,Introduction by: Yevgeny Yevtushenko,,,,New York,Dutton,1970
244,RU,Book,Marina Tsvetaeva,Lebedinyi Stan. Stikhi 1917-1921 godov,,Russian,,Introduction by: Yuri Ivask,Gleb Struve,,,Munich,G.P. Struve,1957
246,RU,Book,Marina Tsvetaeva,"Proza,",,Russian,,Introduction by: Fedor Stepun,,,,New York,Izdatel'stvo imeni Chekhova,1953
247,RU,Book,Alexander Galich,Songs and Poems,,English,G.S. Smith,Introduction by: G.S. Smith,G.S. Smith,,,Ann Arbor,Ardis,1983
248,RU,Book,Yevgeny Yevtushenko,Selected Poems,,English,Robin Milner-Gulland; Peter Levi; S.J.,Introduction by: Robin Milner-Gulland; Peter Levi; S.J.,,,,New York,Dutton,1962
249,RU,Book,Yevgeny Yevtushenko,"Posle Stalina, Nasledniki Stalina, Babii Iar i drugie",,Russian,,,,,,Chicago,Russian Language Specialties,1962
250,RU,Book,Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich,,English,Max Hayward; Ronald Hingley,Introduction by: Max Hayward; Leopold Labedz,,,,New York,Praeger,1963
