id,realm,material_type,author_inified,country_of_birth_original,country_of_birth_modern,sex or gender,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
26,RU,Book,Alexander Galich,Soviet Union,Ukraine,male,Pokolenie obrechennykh,,Russian,,,,,,Frankfurt am Main,Possev,1974
27,RU,Book,Yevgenia Ginzburg,Russian Empire,Russia,female,Krutoi marshrut,,Russian,,,,,,Milan,Mondadori,1967
28,RU,Book,Yevgenia Ginzburg,Russian Empire,Russia,female,"Krutoi marshrut, Vol. 2",,Russian,,,,,,Milan,Mondadori,1979
29,RU,Book,Natalya Gorbanevskaya,Soviet Union,Russia,female,Polden,,Russian,,,,,,Frankfurt am Main,Possev,1970
30,RU,Book,Natalya Gorbanevskaya,Soviet Union,Russia,female,Poberezhe. Stikhi,,Russian,,,,,,Ann Arbor,Ardis,1973
31,RU,Book,Yuli Daniel,Soviet Union,Russia,male,Govorit Moskva. Povest i rasskazy,,Russian,,Introduction and afterword by: Boris Filippov,,,Nikolai Safonov,Washington D.C.,Inter-Language Literary Associates,1966
32,RU,Book,Yuli Daniel,Soviet Union,Russia,male,Iskuplenie,,Russian,,Introduction by: Boris Filippov,,,,Washington D.C.,Inter-Language Literary Associates,1964
33,RU,Book,Yuli Daniel,Soviet Union,Russia,male,Ruki. Chelovek iz MINAPa,,Russian,,Introduction by: Boris Filippov,,,,Washington D.C.,Boris Filippov,1963
34,RU,Book,Yuli Daniel,Soviet Union,Russia,male,Govorit Moskva,,Russian,,Introduction by: Boris Filippov,,,,Washington D.C.,Boris Filippov,1962
35,RU,Book,,,,,Sinyavsky i Daniel' na skam'e podsudimykh,,Russian,,Introduction by: Helene Zamoyska; Boris Filippov,,,,New York,Inter-Language Literary Associates,1966
36,RU,Book,Sergei Dovlatov,Soviet Union,Russia,male,Nevidimaia kniga,,Russian,,,,,,Ann Arbor,Ardis,1978
37,RU,Book,Alexander Esenin-Volpin,United States,Russia,male,A Leaf of Spring,,Russian; English,George Reavey,,,,,New York,Praeger,1961
38,RU,Book,Nadezhda Mandelstam,Russian Empire,Russia,female,Vospominaniia,,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1970
39,RU,Book,Nadezhda Mandelstam,Russian Empire,Russia,female,Vtoraia kniga,,Russian,,,,,,Paris,YMCA-Press,1972
40,RU,Book,Nadezhda Mandelstam,Russian Empire,Russia,female,Kniga tretia,,Russian,,,,,A. Rakuzin,Paris,YMCA-Press,1987
